condition,model,rep,n_rows,n_errors,num_missing,n_json_exact,n_json_extracted,n_json_failed,mean_wall_seconds,mean_eval_tokens,main_rule_inference_accuracy,main_action_success,main_joint_success,teacher_rule_inference_accuracy,teacher_pedagogical_selection_accuracy,teacher_joint_accuracy,imposter_rule_inference_accuracy,imposter_blend_in_success,imposter_specific_blend_in_rate,imposter_conservative_blend_in_rate,imposter_joint_success,selection_success_given_correct_inference,selection_success_given_wrong_inference,no_history_diagnosis_unknown_accuracy,no_history_choice_insufficient_accuracy,quartet_rule_inference_consistency,quartet_action_consistency,quartet_joint_consistency,teacher_learner_rule_reversal_consistency,imposter_specific_rule_reversal_consistency,specific_goal_reversal_consistency,accuracy,teacher_accuracy,imposter_accuracy
all120,gemma3_12b,1,120,0,0,120,0,0,1.1420,13.8000,0.5000,0.3900,0.1700,0.5000,0.2600,0.1000,0.5000,0.5200,0.3000,0.2200,0.2400,0.3400,0.4400,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0400,,,
all120,gemma3_12b,2,120,0,0,120,0,0,1.0340,13.8000,0.5000,0.3900,0.1700,0.5000,0.2600,0.1000,0.5000,0.5200,0.3000,0.2200,0.2400,0.3400,0.4400,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0400,,,
all120,gemma3_12b,3,120,0,0,120,0,0,1.0400,13.8000,0.5000,0.3900,0.1700,0.5000,0.2600,0.1000,0.5000,0.5200,0.3000,0.2200,0.2400,0.3400,0.4400,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0400,,,
all120,llama3.2-vision_11b,1,120,0,0,120,0,0,1.5560,12.1000,0.5000,0.3500,0.1800,0.5000,0.2000,0.1000,0.5000,0.5000,0.2400,0.2600,0.2600,0.3600,0.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1600,,,
all120,llama3.2-vision_11b,2,120,0,0,120,0,0,1.4160,12.3000,0.4800,0.3600,0.1800,0.4600,0.2200,0.1000,0.5000,0.5000,0.2600,0.2400,0.2600,0.3750,0.3462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.1400,,,
all120,llama3.2-vision_11b,3,120,0,0,120,0,0,1.4310,13.6000,0.2500,0.3700,0.1400,0.1200,0.2200,0.0400,0.3800,0.5200,0.2400,0.2800,0.2400,0.5600,0.3067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0600,,,
all120,qwen2.5vl_7b,1,120,0,0,120,0,0,0.5840,12.9000,0.5100,0.4700,0.2600,0.5200,0.1600,0.0400,0.5000,0.7800,0.1400,0.6400,0.4800,0.5098,0.4286,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,
all120,qwen2.5vl_7b,2,120,0,0,120,0,0,0.4670,12.9000,0.5100,0.4700,0.2600,0.5200,0.1600,0.0400,0.5000,0.7800,0.1400,0.6400,0.4800,0.5098,0.4286,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,
all120,qwen2.5vl_7b,3,120,0,0,120,0,0,0.4690,12.9000,0.5100,0.4700,0.2600,0.5200,0.1600,0.0400,0.5000,0.7800,0.1400,0.6400,0.4800,0.5098,0.4286,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,
