condition,model,n_reps,n_rows,n_errors,num_missing,n_json_exact,n_json_extracted,n_json_failed,mean_wall_seconds,mean_eval_tokens,main_rule_inference_accuracy_mean,main_rule_inference_accuracy_sd,main_action_success_mean,main_action_success_sd,main_joint_success_mean,main_joint_success_sd,teacher_rule_inference_accuracy_mean,teacher_rule_inference_accuracy_sd,teacher_pedagogical_selection_accuracy_mean,teacher_pedagogical_selection_accuracy_sd,teacher_joint_accuracy_mean,teacher_joint_accuracy_sd,imposter_rule_inference_accuracy_mean,imposter_rule_inference_accuracy_sd,imposter_blend_in_success_mean,imposter_blend_in_success_sd,imposter_specific_blend_in_rate_mean,imposter_specific_blend_in_rate_sd,imposter_conservative_blend_in_rate_mean,imposter_conservative_blend_in_rate_sd,imposter_joint_success_mean,imposter_joint_success_sd,selection_success_given_correct_inference_mean,selection_success_given_correct_inference_sd,selection_success_given_wrong_inference_mean,selection_success_given_wrong_inference_sd,no_history_diagnosis_unknown_accuracy_mean,no_history_diagnosis_unknown_accuracy_sd,no_history_choice_insufficient_accuracy_mean,no_history_choice_insufficient_accuracy_sd,quartet_rule_inference_consistency_mean,quartet_rule_inference_consistency_sd,quartet_action_consistency_mean,quartet_action_consistency_sd,quartet_joint_consistency_mean,quartet_joint_consistency_sd,teacher_learner_rule_reversal_consistency_mean,teacher_learner_rule_reversal_consistency_sd,imposter_specific_rule_reversal_consistency_mean,imposter_specific_rule_reversal_consistency_sd,specific_goal_reversal_consistency_mean,specific_goal_reversal_consistency_sd,accuracy_mean,accuracy_sd,teacher_accuracy_mean,teacher_accuracy_sd,imposter_accuracy_mean,imposter_accuracy_sd
all120,gemma3_12b,3,120.0000,0.0000,0.0000,120.0000,0.0000,0.0000,1.0720,13.8000,0.5000,0.0000,0.3900,0.0000,0.1700,0.0000,0.5000,0.0000,0.2600,0.0000,0.1000,0.0000,0.5000,0.0000,0.5200,0.0000,0.3000,0.0000,0.2200,0.0000,0.2400,0.0000,0.3400,0.0000,0.4400,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0400,0.0000,,,,,,
all120,llama3.2-vision_11b,3,120.0000,0.0000,0.0000,120.0000,0.0000,0.0000,1.4680,12.6670,0.4100,0.1389,0.3600,0.0100,0.1667,0.0231,0.3600,0.2088,0.2133,0.0115,0.0800,0.0346,0.4600,0.0693,0.5067,0.0115,0.2467,0.0115,0.2600,0.0200,0.2533,0.0115,0.4317,0.1114,0.3309,0.0212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0133,0.0231,0.0000,0.0000,0.1200,0.0529,,,,,,
all120,qwen2.5vl_7b,3,120.0000,0.0000,0.0000,120.0000,0.0000,0.0000,0.5070,12.9000,0.5100,0.0000,0.4700,0.0000,0.2600,0.0000,0.5200,0.0000,0.1600,0.0000,0.0400,0.0000,0.5000,0.0000,0.7800,0.0000,0.1400,0.0000,0.6400,0.0000,0.4800,0.0000,0.5098,0.0000,0.4286,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,
