model,rep,n_rows,parse_rate,count_match,binding_acc,color_acc,shape_acc,section_acc,selection_precision,selection_recall,n_reading_order_fallback
gemma3_12b,1,110,1.0000,0.8909,0.0488,0.2583,0.2119,1.0000,0.4800,0.4800,0
gemma3_12b,2,110,1.0000,0.8909,0.0488,0.2583,0.2119,1.0000,0.4800,0.4800,0
gemma3_12b,3,110,1.0000,0.8909,0.0488,0.2583,0.2119,1.0000,0.4800,0.4800,0
llama3.2-vision_11b,1,110,1.0000,0.8909,0.5513,0.7124,0.6659,0.9976,0.5380,0.4600,2
llama3.2-vision_11b,2,110,1.0000,0.8636,0.3963,0.6012,0.5561,1.0000,0.5410,0.3300,5
llama3.2-vision_11b,3,110,1.0000,0.8818,0.3502,0.5833,0.4855,1.0000,0.5280,0.3300,3
qwen2.5vl_7b,1,110,1.0000,0.9273,0.9679,0.9988,0.9690,1.0000,0.6500,0.6500,0
qwen2.5vl_7b,2,110,1.0000,0.9273,0.9679,0.9988,0.9690,1.0000,0.6500,0.6500,0
qwen2.5vl_7b,3,110,1.0000,0.9273,0.9679,0.9988,0.9690,1.0000,0.6500,0.6500,0
